nonbreeding,breeding
1,NA
NA,3
2,8
295,89
28,15
1,2
NA,NA
42,19
281,34
297,27
14,6
NA,NA
NA,NA
NA,NA
726,275
706,275
123,42
9,17
NA,NA
72,10
174,68
565,8
60,NA
NA,NA
NA,NA
103,34
452,131
627,265
211,142
86,14
59,4
113,7
339,16
470,20
NA,NA
83,15
134,5
79,15
493,113
571,360
191,93
NA,NA
37,6
NA,NA
25,2
39,1
NA,NA
47,9
NA,NA
NA,NA
347,177
420,366
110,62
14,8
75,4
NA,NA
NA,NA
218,19
NA,NA
60,NA
NA,NA
120,74
215,160
359,248
165,191
101,40
NA,NA
NA,NA
23,2
157,64
7,NA
112,35
NA,NA
447,58
502,166
585,245
617,267
315,103
198,102
NA,NA
182,38
163,38
211,55
82,20
43,11
20,8
40,13
68,14
115,40
NA,63
1,35
48,36
53,25
114,24
6,2
34,9
NA,NA
NA,NA
47,22
30,5
283,72
486,130
167,59
272,64
478,118
560,130
24,3
65,7
288,32
136,63
98,98
6,32
15,82
NA,70
NA,10
NA,NA
NA,NA
17,6
10,32
NA,27
