breeding,nonbreeding
NA,41
2,12
NA,1
1,4
2,1
1,1
4,8
2,12
2,8
23,59
9,57
21,65
37,131
24,120
28,34
20,48
2,4
3,31
2,3
NA,25
NA,1
1,2
NA,11
2,6
2,238
NA,88
NA,20
2,15
6,33
3,14
1,10
12,21
9,6
7,18
1,37
1,3
2,15
NA,11
1,8
3,8
1,6
NA,26
1,22
3,18
3,19
1,7
1,26
1,67
3,63
4,24
2,39
16,111
19,15
15,149
7,172
NA,23
1,41
1,80
1,43
2,55
1,90
2,42
1,140
6,33
6,27
3,95
8,96
3,20
6,93
NA,99
NA,536
1,55
2,50
69,182
97,63
137,108
111,88
17,73
1,74
NA,331
3,85
4,175
1,155
1,98
1,370
49,249
50,179
18,193
27,154
13,65
10,99
5,215
6,169
8,172
3,195
3,191
8,283
10,421
15,239
7,329
7,155
23,156
11,172
3,96
13,194
1,329
41,256
6,251
1,339
13,359
24,315
25,226
56,269
28,208
19,494
4,243
6,312
7,659
13,793
15,498
2,878
24,1136
37,681
26,722
20,412
NA,374
3,455
3,531
2,796
15,1214
81,974
47,993
72,1258
18,994
31,1112
21,1739
30,923
34,743
42,691
12,965
9,903
19,1272
13,1249
10,1373
6,2257
7,1962
5,1564
9,1206
6,1702
11,1017
7,1309
4,1324
6,1426
4,2214
6,1483
NA,1360
